x	y	clickSelects	group	ymin	ymax	xmin	xmax
0.0519583754877876	0.159090909090909	1950	3	0.0454545454545455	0.159090909090909	0.0454545454545452	0.0584622055210301
0.0664113311172138	0.231818181818182	1951	3	0.0454545454545455	0.231818181818182	0.0599075010839714	0.0729151611504563
0.08086428674664	0.109090909090909	1952	3	0.0454545454545455	0.109090909090909	0.0743604567133976	0.0873681167798825
0.0953172423760662	0.15	1953	3	0.0454545454545455	0.15	0.0888134123428238	0.101821072409309
0.109770198005492	0.227272727272727	1954	3	0.0454545454545455	0.227272727272727	0.10326636797225	0.116274028038735
0.124223153634919	0.336363636363636	1955	3	0.0454545454545455	0.336363636363636	0.117719323601676	0.130726983668161
0.138676109264345	0.236363636363636	1956	3	0.0454545454545455	0.236363636363636	0.132172279231102	0.145179939297587
0.153129064893771	0.204545454545455	1957	3	0.0454545454545455	0.204545454545455	0.146625234860529	0.159632894927013
0.167582020523197	0.177272727272727	1958	3	0.0454545454545455	0.177272727272727	0.161078190489955	0.17408585055644
0.182034976152623	0.245454545454545	1959	3	0.0454545454545455	0.245454545454545	0.175531146119381	0.188538806185866
0.19648793178205	0.213636363636364	1960	3	0.0454545454545455	0.213636363636364	0.189984101748807	0.202991761815292
0.210940887411476	0.140909090909091	1961	3	0.0454545454545455	0.140909090909091	0.204437057378233	0.217444717444718
0.225393843040902	0.236363636363636	1962	3	0.0454545454545455	0.236363636363636	0.21889001300766	0.231897673074145
0.239846798670328	0.159090909090909	1963	3	0.0454545454545455	0.159090909090909	0.233342968637086	0.246350628703571
0.254299754299754	0.304545454545455	1964	3	0.0454545454545455	0.304545454545455	0.247795924266512	0.260803584332997
0.268752709929181	0.209090909090909	1965	3	0.0454545454545455	0.209090909090909	0.262248879895938	0.275256539962423
0.283205665558607	0.163636363636364	1966	3	0.0454545454545455	0.163636363636364	0.276701835525364	0.289709495591849
0.297658621188033	0.118181818181818	1967	3	0.0454545454545455	0.118181818181818	0.291154791154791	0.304162451221276
0.312111576817459	0.113636363636364	1968	3	0.0454545454545455	0.113636363636364	0.305607746784217	0.318615406850702
0.326564532446886	0.0954545454545455	1969	3	0.0454545454545455	0.0954545454545455	0.320060702413643	0.333068362480128
0.341017488076312	0.118181818181818	1970	3	0.0454545454545455	0.118181818181818	0.334513658043069	0.347521318109554
0.355470443705738	0.113636363636364	1971	3	0.0454545454545455	0.113636363636364	0.348966613672495	0.36197427373898
0.369923399335164	0.127272727272727	1972	3	0.0454545454545455	0.127272727272727	0.363419569301922	0.376427229368407
0.38437635496459	0.218181818181818	1973	3	0.0454545454545455	0.218181818181818	0.377872524931348	0.390880184997833
0.398829310594017	0.172727272727273	1974	3	0.0454545454545455	0.172727272727273	0.392325480560774	0.405333140627259
0.413282266223443	0.1	1975	3	0.0454545454545455	0.1	0.4067784361902	0.419786096256685
0.427735221852869	0.1	1976	3	0.0454545454545455	0.1	0.421231391819627	0.434239051886111
0.442188177482295	0.0863636363636364	1977	3	0.0454545454545455	0.0863636363636364	0.435684347449053	0.448692007515538
0.456641133111721	0.131818181818182	1978	3	0.0454545454545455	0.131818181818182	0.450137303078479	0.463144963144964
0.471094088741148	0.154545454545455	1979	3	0.0454545454545455	0.154545454545455	0.464590258707905	0.47759791877439
0.485547044370574	0.109090909090909	1980	3	0.0454545454545455	0.109090909090909	0.479043214337331	0.492050874403816
0.5	0.0863636363636364	1981	3	0.0454545454545455	0.0863636363636364	0.493496169966758	0.506503830033242
0.514452955629426	0.277272727272727	1982	3	0.0454545454545455	0.277272727272727	0.507949125596184	0.520956785662669
0.528905911258852	0.131818181818182	1983	3	0.0454545454545455	0.131818181818182	0.52240208122561	0.535409741292095
0.543358866888279	0.254545454545455	1984	3	0.0454545454545455	0.254545454545455	0.536855036855036	0.549862696921521
0.557811822517705	0.118181818181818	1985	3	0.0454545454545455	0.118181818181818	0.551307992484462	0.564315652550947
0.572264778147131	0.136363636363636	1986	3	0.0454545454545455	0.136363636363636	0.565760948113889	0.578768608180373
0.586717733776557	0.0636363636363636	1987	3	0.0454545454545455	0.0636363636363636	0.580213903743315	0.5932215638098
0.601170689405983	0.113636363636364	1988	3	0.0454545454545455	0.113636363636364	0.594666859372741	0.607674519439226
0.61562364503541	0.127272727272727	1989	3	0.0454545454545455	0.127272727272727	0.609119815002167	0.622127475068652
0.630076600664836	0.272727272727273	1990	3	0.0454545454545455	0.272727272727273	0.623572770631593	0.636580430698078
0.644529556294262	0.236363636363636	1991	3	0.0454545454545455	0.236363636363636	0.63802572626102	0.651033386327505
0.658982511923688	0.236363636363636	1992	3	0.0454545454545455	0.236363636363636	0.652478681890446	0.665486341956931
0.673435467553114	0.286363636363636	1993	3	0.0454545454545455	0.286363636363636	0.666931637519872	0.679939297586357
0.687888423182541	0.159090909090909	1994	3	0.0454545454545455	0.159090909090909	0.681384593149298	0.694392253215783
0.702341378811967	0.222727272727273	1995	3	0.0454545454545455	0.222727272727273	0.695837548778724	0.708845208845209
0.716794334441393	0.354545454545455	1996	3	0.0454545454545455	0.354545454545455	0.710290504408151	0.723298164474636
0.731247290070819	0.336363636363636	1997	3	0.0454545454545455	0.336363636363636	0.724743460037577	0.737751120104062
0.745700245700246	0.368181818181818	1998	3	0.0454545454545455	0.368181818181818	0.739196415667003	0.752204075733488
0.760153201329672	0.336363636363636	1999	3	0.0454545454545455	0.336363636363636	0.753649371296429	0.766657031362914
0.774606156959098	0.313636363636364	2000	3	0.0454545454545455	0.313636363636364	0.768102326925855	0.78110998699234
