fill	colour	x	y	density	group	level	piece	xmin	xmax	ymin	ymax
#214769	#214769	0.0606060606060605	0.0454545454545455	0.000194317164993662	1	1	1	0.0454545454545454	0.0757575757575756	NA	0.061128526645768
#29577E	#29577E	0.0909090909090909	0.0454545454545455	0.000290487938893638	1	1	1	0.0757575757575758	0.106060606060606	NA	0.061128526645768
#29577E	#29577E	0.121212121212121	0.0454545454545455	0.000290987257230957	1	1	1	0.106060606060606	0.136363636363636	NA	0.061128526645768
#22486A	#22486A	0.151515151515151	0.0454545454545455	0.000203351939950192	1	1	1	0.136363636363636	0.166666666666667	NA	0.061128526645768
#1A3956	#1A3956	0.181818181818182	0.0454545454545455	0.000106538805990714	1	1	1	0.166666666666667	0.196969696969697	NA	0.061128526645768
#15304A	#15304A	0.212121212121212	0.0454545454545455	4.6370256325784e-05	1	1	1	0.196969696969697	0.227272727272727	NA	0.061128526645768
#132C44	#132C44	0.242424242424242	0.0454545454545455	1.83401860206331e-05	1	1	1	0.227272727272727	0.257575757575757	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.272727272727273	0.0454545454545455	6.61958589116683e-06	1	1	1	0.257575757575758	0.287878787878788	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.303030303030303	0.0454545454545455	2.02336648734346e-06	1	1	1	0.287878787878788	0.318181818181818	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.333333333333333	0.0454545454545455	5.21903200164528e-07	1	1	1	0.318181818181818	0.348484848484848	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.363636363636364	0.0454545454545455	1.58699002694233e-07	1	1	1	0.348484848484849	0.378787878787879	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.393939393939394	0.0454545454545455	8.1504242038222e-08	1	1	1	0.378787878787879	0.409090909090909	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.424242424242424	0.0454545454545455	4.67332986642761e-08	1	1	1	0.409090909090909	0.439393939393939	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.454545454545455	0.0454545454545455	2.03716619354536e-08	1	1	1	0.439393939393939	0.46969696969697	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.484848484848485	0.0454545454545455	5.90209210750261e-09	1	1	1	0.46969696969697	0.5	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.515151515151515	0.0454545454545455	1.08063929238622e-09	1	1	1	0.5	0.53030303030303	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.545454545454545	0.0454545454545455	1.224743204256e-10	1	1	1	0.53030303030303	0.560606060606061	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.575757575757576	0.0454545454545455	8.51986525168315e-12	1	1	1	0.560606060606061	0.590909090909091	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.606060606060606	0.0454545454545455	3.62585563022584e-13	1	1	1	0.590909090909091	0.621212121212121	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.636363636363636	0.0454545454545455	9.42941946158336e-15	1	1	1	0.621212121212121	0.651515151515151	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.666666666666667	0.0454545454545455	1.49895254747707e-16	1	1	1	0.651515151515152	0.681818181818182	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.696969696969697	0.0454545454545455	1.46962555269757e-18	1	1	1	0.681818181818182	0.712121212121212	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.727272727272727	0.0454545454545455	1.00526697881547e-20	1	1	1	0.712121212121212	0.742424242424242	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.757575757575758	0.0454545454545455	1.09973608886785e-22	1	1	1	0.742424242424243	0.772727272727273	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.787878787878788	0.0454545454545455	2.70994110375236e-24	1	1	1	0.772727272727273	0.803030303030303	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.818181818181818	0.0454545454545455	5.40277191866603e-26	1	1	1	0.803030303030303	0.833333333333333	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.848484848484849	0.0454545454545455	6.70325308846662e-28	1	1	1	0.833333333333333	0.863636363636364	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.878787878787879	0.0454545454545455	5.06683585552745e-30	1	1	1	0.863636363636364	0.893939393939394	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.909090909090909	0.0454545454545455	2.32980134473481e-32	1	1	1	0.893939393939394	0.924242424242424	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.939393939393939	0.0454545454545455	6.51591225269387e-35	1	1	1	0.924242424242424	0.954545454545454	NA	0.061128526645768
#275379	#275379	0.0606060606060605	0.0768025078369906	0.000268742477487585	1	1	1	0.0454545454545454	0.0757575757575756	0.0611285266457681	0.0924764890282131
#336C9A	#336C9A	0.0909090909090909	0.0768025078369906	0.000417503037600088	1	1	1	0.0757575757575758	0.106060606060606	0.0611285266457681	0.0924764890282131
#3670A1	#3670A1	0.121212121212121	0.0768025078369906	0.000443956013228772	1	1	1	0.106060606060606	0.136363636363636	0.0611285266457681	0.0924764890282131
#2D5F89	#2D5F89	0.151515151515151	0.0768025078369906	0.000342992150118576	1	1	1	0.136363636363636	0.166666666666667	0.0611285266457681	0.0924764890282131
#22496C	#22496C	0.181818181818182	0.0768025078369906	0.000211105844001545	1	1	1	0.166666666666667	0.196969696969697	0.0611285266457681	0.0924764890282131
#1A3A58	#1A3A58	0.212121212121212	0.0768025078369906	0.000114337216001649	1	1	1	0.196969696969697	0.227272727272727	0.0611285266457681	0.0924764890282131
#16324C	#16324C	0.242424242424242	0.0768025078369906	5.70216677642986e-05	1	1	1	0.227272727272727	0.257575757575757	0.0611285266457681	0.0924764890282131
#142D45	#142D45	0.272727272727273	0.0768025078369906	2.49661373187851e-05	1	1	1	0.257575757575758	0.287878787878788	0.0611285266457681	0.0924764890282131
#FFFFFF	#FFFFFF	0.303030303030303	0.0768025078369906	8.89050397107396e-06	1	1	1	0.287878787878788	0.318181818181818	0.0611285266457681	0.0924764890282131
#FFFFFF	#FFFFFF	0.333333333333333	0.0768025078369906	2.71889733257838e-06	1	1	1	0.318181818181818	0.348484848484848	0.0611285266457681	0.0924764890282131
#FFFFFF	#FFFFFF	0.363636363636364	0.0768025078369906	1.00524116182274e-06	1	1	1	0.348484848484849	0.378787878787879	0.0611285266457681	0.0924764890282131
#FFFFFF	#FFFFFF	0.393939393939394	0.0768025078369906	5.47834809349077e-07	1	1	1	0.378787878787879	0.409090909090909	0.0611285266457681	0.0924764890282131
#FFFFFF	#FFFFFF	0.424242424242424	0.0768025078369906	3.09532711963356e-07	1	1	1	0.409090909090909	0.439393939393939	0.0611285266457681	0.0924764890282131
#FFFFFF	#FFFFFF	0.454545454545455	0.0768025078369906	1.34068384816637e-07	1	1	1	0.439393939393939	0.46969696969697	0.0611285266457681	0.0924764890282131
#FFFFFF	#FFFFFF	0.484848484848485	0.0768025078369906	3.90265560075135e-08	1	1	1	0.46969696969697	0.5	0.0611285266457681	0.0924764890282131
#FFFFFF	#FFFFFF	0.515151515151515	0.0768025078369906	7.2197020406972e-09	1	1	1	0.5	0.53030303030303	0.0611285266457681	0.0924764890282131
#FFFFFF	#FFFFFF	0.545454545454545	0.0768025078369906	8.29266237180871e-10	1	1	1	0.53030303030303	0.560606060606061	0.0611285266457681	0.0924764890282131
#FFFFFF	#FFFFFF	0.575757575757576	0.0768025078369906	5.85933016081254e-11	1	1	1	0.560606060606061	0.590909090909091	0.0611285266457681	0.0924764890282131
#FFFFFF	#FFFFFF	0.606060606060606	0.0768025078369906	2.53794583577544e-12	1	1	1	0.590909090909091	0.621212121212121	0.0611285266457681	0.0924764890282131
#FFFFFF	#FFFFFF	0.636363636363636	0.0768025078369906	6.73889889450462e-14	1	1	1	0.621212121212121	0.651515151515151	0.0611285266457681	0.0924764890282131
#FFFFFF	#FFFFFF	0.666666666666667	0.0768025078369906	1.11473204472249e-15	1	1	1	0.651515151515152	0.681818181818182	0.0611285266457681	0.0924764890282131
#FFFFFF	#FFFFFF	0.696969696969697	0.0768025078369906	1.41068236917742e-17	1	1	1	0.681818181818182	0.712121212121212	0.0611285266457681	0.0924764890282131
#FFFFFF	#FFFFFF	0.727272727272727	0.0768025078369906	3.57691711313664e-19	1	1	1	0.712121212121212	0.742424242424242	0.0611285266457681	0.0924764890282131
#FFFFFF	#FFFFFF	0.757575757575758	0.0768025078369906	1.62746697829969e-20	1	1	1	0.742424242424243	0.772727272727273	0.0611285266457681	0.0924764890282131
#FFFFFF	#FFFFFF	0.787878787878788	0.0768025078369906	5.37862126347017e-22	1	1	1	0.772727272727273	0.803030303030303	0.0611285266457681	0.0924764890282131
#FFFFFF	#FFFFFF	0.818181818181818	0.0768025078369906	1.09665631538026e-23	1	1	1	0.803030303030303	0.833333333333333	0.0611285266457681	0.0924764890282131
#FFFFFF	#FFFFFF	0.848484848484849	0.0768025078369906	1.36175011606086e-25	1	1	1	0.833333333333333	0.863636363636364	0.0611285266457681	0.0924764890282131
#FFFFFF	#FFFFFF	0.878787878787879	0.0768025078369906	1.02870663295913e-27	1	1	1	0.863636363636364	0.893939393939394	0.0611285266457681	0.0924764890282131
#FFFFFF	#FFFFFF	0.909090909090909	0.0768025078369906	4.727061914402e-30	1	1	1	0.893939393939394	0.924242424242424	0.0611285266457681	0.0924764890282131
#FFFFFF	#FFFFFF	0.939393939393939	0.0768025078369906	1.32122930930301e-32	1	1	1	0.924242424242424	0.954545454545454	0.0611285266457681	0.0924764890282131
#234B6E	#234B6E	0.0606060606060605	0.108150470219436	0.000219249142060884	1	1	1	0.0454545454545454	0.0757575757575756	0.0924764890282132	0.123824451410658
#2E628D	#2E628D	0.0909090909090909	0.108150470219436	0.000359328967930083	1	1	1	0.0757575757575758	0.106060606060606	0.0924764890282132	0.123824451410658
#336C9A	#336C9A	0.121212121212121	0.108150470219436	0.000417913955714096	1	1	1	0.106060606060606	0.136363636363636	0.0924764890282132	0.123824451410658
#306591	#306591	0.151515151515151	0.108150470219436	0.000374797407961593	1	1	1	0.136363636363636	0.166666666666667	0.0924764890282132	0.123824451410658
#28567D	#28567D	0.181818181818182	0.108150470219436	0.000286333389648356	1	1	1	0.166666666666667	0.196969696969697	0.0924764890282132	0.123824451410658
#21486A	#21486A	0.212121212121212	0.108150470219436	0.000199439260764012	1	1	1	0.196969696969697	0.227272727272727	0.0924764890282132	0.123824451410658
#1B3C5A	#1B3C5A	0.242424242424242	0.108150470219436	0.000125183613258528	1	1	1	0.227272727272727	0.257575757575757	0.0924764890282132	0.123824451410658
#17334E	#17334E	0.272727272727273	0.108150470219436	6.54186818942307e-05	1	1	1	0.257575757575758	0.287878787878788	0.0924764890282132	0.123824451410658
#142D46	#142D46	0.303030303030303	0.108150470219436	2.71233242996138e-05	1	1	1	0.287878787878788	0.318181818181818	0.0924764890282132	0.123824451410658
#FFFFFF	#FFFFFF	0.333333333333333	0.108150470219436	9.98627300457575e-06	1	1	1	0.318181818181818	0.348484848484848	0.0924764890282132	0.123824451410658
#FFFFFF	#FFFFFF	0.363636363636364	0.108150470219436	4.34207228174506e-06	1	1	1	0.348484848484849	0.378787878787879	0.0924764890282132	0.123824451410658
#FFFFFF	#FFFFFF	0.393939393939394	0.108150470219436	2.38799193986787e-06	1	1	1	0.378787878787879	0.409090909090909	0.0924764890282132	0.123824451410658
#FFFFFF	#FFFFFF	0.424242424242424	0.108150470219436	1.29557412117154e-06	1	1	1	0.409090909090909	0.439393939393939	0.0924764890282132	0.123824451410658
#FFFFFF	#FFFFFF	0.454545454545455	0.108150470219436	5.50822626925492e-07	1	1	1	0.439393939393939	0.46969696969697	0.0924764890282132	0.123824451410658
#FFFFFF	#FFFFFF	0.484848484848485	0.108150470219436	1.60575865672704e-07	1	1	1	0.46969696969697	0.5	0.0924764890282132	0.123824451410658
#FFFFFF	#FFFFFF	0.515151515151515	0.108150470219436	3.00733646739723e-08	1	1	1	0.5	0.53030303030303	0.0924764890282132	0.123824451410658
#FFFFFF	#FFFFFF	0.545454545454545	0.108150470219436	3.51875109122896e-09	1	1	1	0.53030303030303	0.560606060606061	0.0924764890282132	0.123824451410658
#FFFFFF	#FFFFFF	0.575757575757576	0.108150470219436	2.54416492879315e-10	1	1	1	0.560606060606061	0.590909090909091	0.0924764890282132	0.123824451410658
#FFFFFF	#FFFFFF	0.606060606060606	0.108150470219436	1.13460214798548e-11	1	1	1	0.590909090909091	0.621212121212121	0.0924764890282132	0.123824451410658
#FFFFFF	#FFFFFF	0.636363636363636	0.108150470219436	3.2071340009947e-13	1	1	1	0.621212121212121	0.651515151515151	0.0924764890282132	0.123824451410658
#FFFFFF	#FFFFFF	0.666666666666667	0.108150470219436	7.80854945788623e-15	1	1	1	0.651515151515152	0.681818181818182	0.0924764890282132	0.123824451410658
#FFFFFF	#FFFFFF	0.696969696969697	0.108150470219436	4.3181577721249e-16	1	1	1	0.681818181818182	0.712121212121212	0.0924764890282132	0.123824451410658
#FFFFFF	#FFFFFF	0.727272727272727	0.108150470219436	3.42525540325453e-17	1	1	1	0.712121212121212	0.742424242424242	0.0924764890282132	0.123824451410658
#FFFFFF	#FFFFFF	0.757575757575758	0.108150470219436	1.86388630788554e-18	1	1	1	0.742424242424243	0.772727272727273	0.0924764890282132	0.123824451410658
#FFFFFF	#FFFFFF	0.787878787878788	0.108150470219436	6.23798782742171e-20	1	1	1	0.772727272727273	0.803030303030303	0.0924764890282132	0.123824451410658
